offset	next_record_offset	type_code	verdict	path	declared_length	metadata_length	payload_count	payload_tags	payload_offsets	payload_lengths	payload_hashes	xattr_names
13374308608	13374309168	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYearEndGreetingThankYou.patternxml	266	266	1	DATA	13374308874	294	None	
13374309168	13374309701	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYesAfterPrompt.patternxml	257	257	1	DATA	13374309425	276	None	
13374309701	13374310243	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYesGenderEquality.patternxml	260	260	1	DATA	13374309961	282	None	
13374310243	13374310767	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYoiOtoshiWo.patternxml	254	254	1	DATA	13374310497	270	None	
13374310767	13374311285	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYoroshiku.patternxml	252	252	1	DATA	13374311019	266	None	
13374311285	13374311809	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYouAreALiar.patternxml	254	254	1	DATA	13374311539	270	None	
13374311809	13374312330	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYouAreMean.patternxml	253	253	1	DATA	13374312062	268	None	
13374312330	13374312893	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYouAreMySignificantOther.patternxml	267	267	1	DATA	13374312597	296	None	
13374312893	13374313411	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYouHurtMe.patternxml	252	252	1	DATA	13374313145	266	None	
13374313411	13374313926	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYourName.patternxml	251	251	1	DATA	13374313662	264	None	
13374313926	13374314447	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalYourOrigin.patternxml	253	253	1	DATA	13374314179	268	None	
13374314447	13374314992	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/dalZongziSweetOrSalty.patternxml	261	261	1	DATA	13374314708	284	None	
13374314992	13374315513	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/emergencyCAT1.patternxml	253	253	1	DATA	13374315245	268	None	
13374315513	13374316034	F	metadata_overrun	System/Library/Assistant/FlowDelegatePlugins/SocialConversationFlowDelegatePlugin.bundle/Contents/Resources/Templates/ar/pattern/SocialConversation.patternfamily/emergencyCAT2.patternxml	253	253	1	DATA	13374315766	268	None	
